miRNA Name,Disease Name,MeSH
hsa-miR-29b-3p,lymphoma,Lymphoma
hsa-miR-141-3p,lymphoma,Lymphoma
hsa-miR-33a-5p,lymphoma,Lymphoma
hsa-miR-210-3p,lymphoma,Lymphoma
hsa-miR-144-3p,lymphoma,Lymphoma
hsa-miR-181a-5p,lymphoma,Lymphoma
hsa-miR-200b-3p,lymphoma,Lymphoma
hsa-miR-206,lymphoma,Lymphoma
hsa-miR-338-3p,lymphoma,Lymphoma
hsa-miR-153-3p,lymphoma,Lymphoma
hsa-miR-188-5p,lymphoma,Lymphoma
hsa-miR-335-5p,lymphoma,Lymphoma
hsa-miR-139-5p,lymphoma,Lymphoma
hsa-miR-182-5p,lymphoma,Lymphoma
hsa-miR-129-5p,lymphoma,Lymphoma
hsa-miR-374a-5p,lymphoma,Lymphoma
hsa-miR-214-3p,lymphoma,Lymphoma
hsa-miR-10a-5p,lymphoma,Lymphoma
hsa-miR-197-3p,lymphoma,Lymphoma
hsa-miR-26a-5p,lymphoma,Lymphoma
hsa-miR-24-3p,lymphoma,Lymphoma
hsa-miR-140-5p,lymphoma,Lymphoma
hsa-miR-195-5p,lymphoma,Lymphoma
hsa-miR-200c-3p,lymphoma,Lymphoma
hsa-miR-346,lymphoma,Lymphoma
hsa-miR-369-3p,lymphoma,Lymphoma
hsa-miR-146a-5p,lymphoma,Lymphoma
hsa-miR-22-3p,lymphoma,Lymphoma
hsa-miR-133b,lymphoma,Lymphoma
hsa-miR-337-3p,lymphoma,Lymphoma
hsa-miR-324-5p,lymphoma,Lymphoma
hsa-miR-7-5p,lymphoma,Lymphoma
hsa-miR-10b-5p,lymphoma,Lymphoma
hsa-miR-193a-3p,lymphoma,Lymphoma
hsa-miR-29a-3p,lymphoma,Lymphoma
hsa-miR-330-3p,lymphoma,Lymphoma
hsa-miR-23b-3p,lymphoma,Lymphoma
hsa-miR-302b-3p,lymphoma,Lymphoma
hsa-miR-340-5p,lymphoma,Lymphoma
hsa-miR-27a-3p,lymphoma,Lymphoma
hsa-miR-296-5p,lymphoma,Lymphoma
hsa-miR-17-5p,leukemia,Leukemia
hsa-miR-150-5p,leukemia,Leukemia
hsa-miR-20a-5p,leukemia,Leukemia
hsa-miR-29c-3p,leukemia,Leukemia
hsa-miR-9-5p,leukemia,Leukemia
hsa-miR-335-5p,leukemia,Leukemia
hsa-miR-181b-5p,leukemia,Leukemia
hsa-miR-26a-5p,leukemia,Leukemia
hsa-miR-138-5p,leukemia,Leukemia
hsa-miR-376c-3p,leukemia,Leukemia
hsa-miR-223-3p,leukemia,Leukemia
hsa-miR-181a-5p,leukemia,Leukemia
hsa-miR-25-3p,leukemia,Leukemia
hsa-miR-204-5p,leukemia,Leukemia
hsa-miR-205-5p,leukemia,Leukemia
hsa-miR-146a-5p,leukemia,Leukemia
hsa-miR-206,leukemia,Leukemia
hsa-miR-101-3p,leukemia,Leukemia
hsa-miR-93-5p,leukemia,Leukemia
hsa-miR-134-5p,leukemia,Leukemia
hsa-miR-96-5p,leukemia,Leukemia
hsa-miR-374a-5p,leukemia,Leukemia
hsa-miR-34a-5p,leukemia,Leukemia
hsa-miR-155-5p,leukemia,Leukemia
hsa-miR-198,leukemia,Leukemia
hsa-miR-106b-5p,leukemia,Leukemia
hsa-miR-139-5p,leukemia,Leukemia
hsa-miR-7-5p,leukemia,Leukemia
hsa-miR-199b-5p,leukemia,Leukemia
hsa-miR-142-5p,leukemia,Leukemia
hsa-miR-31-5p,leukemia,Leukemia
hsa-miR-182-5p,leukemia,Leukemia
hsa-miR-103a-3p,leukemia,Leukemia
hsa-miR-339-5p,leukemia,Leukemia
hsa-miR-199a-5p,leukemia,Leukemia
hsa-miR-135b-5p,leukemia,Leukemia
hsa-miR-33a-5p,leukemia,Leukemia
hsa-miR-330-3p,leukemia,Leukemia
hsa-miR-367-3p,leukemia,Leukemia
hsa-miR-200a-3p,leukemia,Leukemia
hsa-miR-195-5p,leukemia,Leukemia
hsa-miR-107,leukemia,Leukemia
hsa-miR-124-3p,lymphoma,Lymphoma
hsa-miR-378a-3p,lymphoma,Lymphoma
hsa-miR-422a,lymphoma,Lymphoma
hsa-miR-326,lymphoma,Lymphoma
hsa-miR-99a-5p,leukemia,Leukemia
hsa-miR-125b-5p,leukemia,Leukemia
hsa-miR-21-5p,leukemia,Leukemia
hsa-miR-30b-5p,leukemia,Leukemia
hsa-miR-98-5p,leukemia,Leukemia
hsa-miR-100-5p,leukemia,Leukemia
hsa-miR-424-5p,leukemia,Leukemia
hsa-miR-16-5p,leukemia,Leukemia
hsa-miR-194-5p,leukemia,Leukemia
hsa-miR-17-3p,leukemia,Leukemia
hsa-miR-29b-3p,leukemia,Leukemia
hsa-miR-148a-3p,breast cancer,Breast Neoplasms
hsa-miR-199b-5p,breast cancer,Breast Neoplasms
hsa-miR-99a-5p,breast cancer,Breast Neoplasms
hsa-miR-100-5p,breast cancer,Breast Neoplasms
hsa-miR-150-5p,breast cancer,Breast Neoplasms
hsa-miR-224-5p,breast cancer,Breast Neoplasms
hsa-miR-130a-3p,breast cancer,Breast Neoplasms
hsa-miR-195-5p,breast cancer,Breast Neoplasms
hsa-miR-205-5p,breast cancer,Breast Neoplasms
hsa-miR-200a-3p,breast cancer,Breast Neoplasms
hsa-miR-27a-3p,breast cancer,Breast Neoplasms
hsa-miR-194-5p,kidney cancer,Kidney Neoplasms
hsa-miR-204-5p,kidney cancer,Kidney Neoplasms
hsa-miR-124-3p,kidney cancer,Kidney Neoplasms
hsa-miR-224-5p,kidney cancer,Kidney Neoplasms
hsa-miR-136-5p,kidney cancer,Kidney Neoplasms
hsa-miR-22-3p,kidney cancer,Kidney Neoplasms
hsa-miR-199a-5p,kidney cancer,Kidney Neoplasms
hsa-miR-198,kidney cancer,Kidney Neoplasms
hsa-miR-210-3p,kidney cancer,Kidney Neoplasms
hsa-miR-107,kidney cancer,Kidney Neoplasms
hsa-miR-29a-3p,kidney cancer,Kidney Neoplasms
hsa-miR-186-5p,kidney cancer,Kidney Neoplasms
hsa-miR-206,prostate cancer,Prostatic Neoplasms
hsa-miR-127-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-144-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-224-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-145-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-324-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-150-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-33a-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-146a-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-24-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-17-3p,colon cancer,Colonic Neoplasms
hsa-miR-195-5p,colon cancer,Colonic Neoplasms
hsa-miR-203a-3p,colon cancer,Colonic Neoplasms
hsa-miR-33a-5p,lung cancer,Lung Neoplasms
hsa-miR-125a-5p,lung cancer,Lung Neoplasms
hsa-miR-103a-3p,lung cancer,Lung Neoplasms
hsa-miR-144-3p,lung cancer,Lung Neoplasms
hsa-miR-198,lung cancer,Lung Neoplasms
hsa-miR-200a-3p,lung cancer,Lung Neoplasms
hsa-miR-99a-5p,lung cancer,Lung Neoplasms
hsa-miR-146a-5p,lung cancer,Lung Neoplasms
hsa-miR-27a-3p,lung cancer,Lung Neoplasms
hsa-miR-200a-3p,uterus cancer,Uterine Neoplasms
hsa-miR-103a-3p,uterus cancer,Uterine Neoplasms
hsa-miR-125a-5p,uterus cancer,Uterine Neoplasms
hsa-miR-24-3p,uterus cancer,Uterine Neoplasms
hsa-miR-17-3p,uterus cancer,Uterine Neoplasms
hsa-miR-10b-5p,uterus cancer,Uterine Neoplasms
hsa-miR-218-5p,uterus cancer,Uterine Neoplasms
hsa-miR-140-5p,uterus cancer,Uterine Neoplasms
hsa-miR-22-3p,uterus cancer,Uterine Neoplasms
hsa-miR-198,uterus cancer,Uterine Neoplasms
hsa-miR-195-5p,uterus cancer,Uterine Neoplasms
hsa-miR-205-5p,uterus cancer,Uterine Neoplasms
hsa-miR-150-5p,uterus cancer,Uterine Neoplasms
hsa-miR-23b-3p,uterus cancer,Uterine Neoplasms
hsa-miR-27a-3p,uterus cancer,Uterine Neoplasms
hsa-miR-199b-5p,uterus cancer,Uterine Neoplasms
hsa-miR-10a-5p,uterus cancer,Uterine Neoplasms
hsa-miR-197-3p,uterus cancer,Uterine Neoplasms
hsa-miR-145-5p,uterus cancer,Uterine Neoplasms
hsa-miR-33a-5p,breast cancer,Breast Neoplasms
hsa-miR-29c-3p,breast cancer,Breast Neoplasms
hsa-miR-200b-3p,breast cancer,Breast Neoplasms
hsa-miR-155-5p,breast cancer,Breast Neoplasms
hsa-miR-214-3p,breast cancer,Breast Neoplasms
hsa-miR-152-3p,breast cancer,Breast Neoplasms
hsa-miR-200c-3p,breast cancer,Breast Neoplasms
hsa-miR-24-3p,lung cancer,Lung Neoplasms
hsa-miR-29c-3p,lung cancer,Lung Neoplasms
hsa-miR-214-3p,lung cancer,Lung Neoplasms
hsa-miR-182-5p,lung cancer,Lung Neoplasms
hsa-miR-142-5p,lung cancer,Lung Neoplasms
hsa-miR-29b-3p,lung cancer,Lung Neoplasms
hsa-miR-142-3p,lung cancer,Lung Neoplasms
hsa-miR-199a-5p,lung cancer,Lung Neoplasms
hsa-miR-181b-5p,lung cancer,Lung Neoplasms
hsa-miR-136-5p,lung cancer,Lung Neoplasms
hsa-miR-204-5p,lung cancer,Lung Neoplasms
hsa-miR-188-5p,leukemia,Leukemia
hsa-miR-140-5p,leukemia,Leukemia
hsa-miR-219a-5p,leukemia,Leukemia
hsa-miR-10b-5p,leukemia,Leukemia
hsa-miR-30a-3p,leukemia,Leukemia
hsa-miR-197-3p,leukemia,Leukemia
hsa-miR-148a-3p,leukemia,Leukemia
hsa-miR-143-3p,leukemia,Leukemia
hsa-miR-22-3p,leukemia,Leukemia
hsa-miR-152-3p,leukemia,Leukemia
hsa-miR-193a-3p,leukemia,Leukemia
hsa-miR-224-5p,leukemia,Leukemia
hsa-miR-153-3p,leukemia,Leukemia
hsa-miR-23b-3p,leukemia,Leukemia
hsa-miR-149-5p,leukemia,Leukemia
hsa-miR-127-3p,leukemia,Leukemia
hsa-miR-183-5p,leukemia,Leukemia
hsa-miR-135a-5p,leukemia,Leukemia
hsa-miR-136-5p,leukemia,Leukemia
hsa-miR-200b-3p,leukemia,Leukemia
hsa-miR-324-5p,leukemia,Leukemia
hsa-miR-141-3p,leukemia,Leukemia
hsa-miR-296-5p,leukemia,Leukemia
hsa-miR-144-3p,leukemia,Leukemia
hsa-miR-27a-3p,leukemia,Leukemia
hsa-miR-185-5p,leukemia,Leukemia
hsa-miR-124-3p,leukemia,Leukemia
hsa-miR-32-5p,leukemia,Leukemia
hsa-miR-210-3p,leukemia,Leukemia
hsa-miR-26a-5p,breast cancer,Breast Neoplasms
hsa-miR-143-3p,breast cancer,Breast Neoplasms
hsa-miR-145-5p,breast cancer,Breast Neoplasms
hsa-miR-16-5p,breast cancer,Breast Neoplasms
hsa-miR-125b-5p,breast cancer,Breast Neoplasms
hsa-miR-182-5p,breast cancer,Breast Neoplasms
hsa-miR-22-3p,breast cancer,Breast Neoplasms
hsa-miR-346,breast cancer,Breast Neoplasms
hsa-miR-129-5p,breast cancer,Breast Neoplasms
hsa-miR-7-5p,breast cancer,Breast Neoplasms
hsa-miR-372-3p,breast cancer,Breast Neoplasms
hsa-miR-24-3p,breast cancer,Breast Neoplasms
hsa-miR-144-3p,breast cancer,Breast Neoplasms
hsa-miR-135a-5p,breast cancer,Breast Neoplasms
hsa-miR-206,breast cancer,Breast Neoplasms
hsa-miR-198,breast cancer,Breast Neoplasms
hsa-miR-337-3p,breast cancer,Breast Neoplasms
hsa-miR-330-3p,breast cancer,Breast Neoplasms
hsa-miR-367-3p,breast cancer,Breast Neoplasms
hsa-miR-138-5p,breast cancer,Breast Neoplasms
hsa-miR-302b-3p,breast cancer,Breast Neoplasms
hsa-miR-10b-5p,breast cancer,Breast Neoplasms
hsa-miR-199a-5p,breast cancer,Breast Neoplasms
hsa-miR-9-5p,breast cancer,Breast Neoplasms
hsa-miR-21-5p,breast cancer,Breast Neoplasms
hsa-miR-124-3p,breast cancer,Breast Neoplasms
hsa-miR-125a-5p,breast cancer,Breast Neoplasms
hsa-miR-219a-5p,breast cancer,Breast Neoplasms
hsa-miR-370-3p,breast cancer,Breast Neoplasms
hsa-miR-30b-5p,breast cancer,Breast Neoplasms
hsa-miR-10a-5p,breast cancer,Breast Neoplasms
hsa-miR-153-3p,breast cancer,Breast Neoplasms
hsa-miR-340-5p,breast cancer,Breast Neoplasms
hsa-miR-29a-3p,breast cancer,Breast Neoplasms
hsa-miR-34a-5p,breast cancer,Breast Neoplasms
hsa-miR-25-3p,breast cancer,Breast Neoplasms
hsa-miR-93-5p,breast cancer,Breast Neoplasms
hsa-miR-183-5p,breast cancer,Breast Neoplasms
hsa-miR-17-3p,breast cancer,Breast Neoplasms
hsa-miR-30a-3p,breast cancer,Breast Neoplasms
hsa-miR-335-5p,breast cancer,Breast Neoplasms
hsa-miR-136-5p,breast cancer,Breast Neoplasms
hsa-miR-185-5p,breast cancer,Breast Neoplasms
hsa-miR-210-3p,breast cancer,Breast Neoplasms
hsa-miR-203a-3p,breast cancer,Breast Neoplasms
hsa-miR-101-3p,breast cancer,Breast Neoplasms
hsa-miR-23b-3p,breast cancer,Breast Neoplasms
hsa-miR-32-5p,breast cancer,Breast Neoplasms
hsa-miR-142-5p,breast cancer,Breast Neoplasms
hsa-miR-107,breast cancer,Breast Neoplasms
hsa-miR-338-3p,breast cancer,Breast Neoplasms
hsa-miR-127-3p,breast cancer,Breast Neoplasms
hsa-miR-326,breast cancer,Breast Neoplasms
hsa-miR-135b-5p,breast cancer,Breast Neoplasms
hsa-miR-146a-5p,breast cancer,Breast Neoplasms
hsa-miR-186-5p,breast cancer,Breast Neoplasms
hsa-miR-20a-5p,breast cancer,Breast Neoplasms
hsa-miR-103a-3p,breast cancer,Breast Neoplasms
hsa-miR-197-3p,breast cancer,Breast Neoplasms
hsa-miR-141-3p,breast cancer,Breast Neoplasms
hsa-miR-149-5p,breast cancer,Breast Neoplasms
hsa-miR-139-5p,breast cancer,Breast Neoplasms
hsa-miR-29b-3p,breast cancer,Breast Neoplasms
hsa-miR-223-3p,breast cancer,Breast Neoplasms
hsa-miR-188-5p,breast cancer,Breast Neoplasms
hsa-miR-181b-5p,breast cancer,Breast Neoplasms
hsa-miR-369-3p,breast cancer,Breast Neoplasms
hsa-miR-134-5p,breast cancer,Breast Neoplasms
hsa-miR-29b-3p,uterus cancer,Uterine Neoplasms
hsa-miR-326,uterus cancer,Uterine Neoplasms
hsa-miR-32-5p,uterus cancer,Uterine Neoplasms
hsa-miR-144-3p,uterus cancer,Uterine Neoplasms
hsa-miR-324-5p,uterus cancer,Uterine Neoplasms
hsa-miR-136-5p,uterus cancer,Uterine Neoplasms
hsa-miR-149-5p,uterus cancer,Uterine Neoplasms
hsa-miR-204-5p,uterus cancer,Uterine Neoplasms
hsa-miR-203a-3p,uterus cancer,Uterine Neoplasms
hsa-miR-345-5p,uterus cancer,Uterine Neoplasms
hsa-miR-21-5p,uterus cancer,Uterine Neoplasms
hsa-miR-223-3p,uterus cancer,Uterine Neoplasms
hsa-miR-369-3p,uterus cancer,Uterine Neoplasms
hsa-miR-200b-3p,uterus cancer,Uterine Neoplasms
hsa-miR-411-5p,uterus cancer,Uterine Neoplasms
hsa-miR-376b-3p,uterus cancer,Uterine Neoplasms
hsa-miR-186-5p,uterus cancer,Uterine Neoplasms
hsa-miR-381-3p,uterus cancer,Uterine Neoplasms
hsa-miR-367-3p,uterus cancer,Uterine Neoplasms
hsa-miR-34a-5p,uterus cancer,Uterine Neoplasms
hsa-miR-33a-5p,uterus cancer,Uterine Neoplasms
hsa-miR-185-5p,uterus cancer,Uterine Neoplasms
hsa-miR-340-5p,uterus cancer,Uterine Neoplasms
hsa-miR-100-5p,uterus cancer,Uterine Neoplasms
hsa-miR-182-5p,uterus cancer,Uterine Neoplasms
hsa-miR-99a-5p,uterus cancer,Uterine Neoplasms
hsa-miR-331-3p,uterus cancer,Uterine Neoplasms
hsa-miR-96-5p,uterus cancer,Uterine Neoplasms
hsa-miR-382-5p,uterus cancer,Uterine Neoplasms
hsa-miR-143-3p,uterus cancer,Uterine Neoplasms
hsa-miR-339-5p,uterus cancer,Uterine Neoplasms
hsa-miR-337-3p,uterus cancer,Uterine Neoplasms
hsa-miR-139-5p,uterus cancer,Uterine Neoplasms
hsa-miR-142-3p,uterus cancer,Uterine Neoplasms
hsa-miR-141-3p,uterus cancer,Uterine Neoplasms
hsa-miR-338-3p,uterus cancer,Uterine Neoplasms
hsa-miR-210-3p,uterus cancer,Uterine Neoplasms
hsa-miR-183-5p,uterus cancer,Uterine Neoplasms
hsa-miR-134-5p,uterus cancer,Uterine Neoplasms
hsa-miR-148a-3p,uterus cancer,Uterine Neoplasms
hsa-miR-130a-3p,uterus cancer,Uterine Neoplasms
hsa-miR-25-3p,uterus cancer,Uterine Neoplasms
hsa-miR-346,uterus cancer,Uterine Neoplasms
hsa-miR-422a,uterus cancer,Uterine Neoplasms
hsa-miR-296-5p,uterus cancer,Uterine Neoplasms
hsa-miR-330-3p,uterus cancer,Uterine Neoplasms
hsa-miR-142-5p,uterus cancer,Uterine Neoplasms
hsa-miR-20a-5p,uterus cancer,Uterine Neoplasms
hsa-miR-106b-5p,uterus cancer,Uterine Neoplasms
hsa-miR-146a-5p,uterus cancer,Uterine Neoplasms
hsa-miR-93-5p,uterus cancer,Uterine Neoplasms
hsa-miR-193a-3p,uterus cancer,Uterine Neoplasms
hsa-miR-127-3p,uterus cancer,Uterine Neoplasms
hsa-miR-503-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-422a,esophageal cancer,Esophageal Neoplasms
hsa-miR-424-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-133b,esophageal cancer,Esophageal Neoplasms
hsa-miR-7-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-30a-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-378a-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-100-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-25-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-99a-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-150-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-338-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-140-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-22-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-206,esophageal cancer,Esophageal Neoplasms
hsa-miR-16-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-148a-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-339-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-381-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-203a-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-183-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-490-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-199a-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-181d-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-125b-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-96-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-29c-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-214-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-370-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-182-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-139-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-195-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-143-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-204-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-155-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-10b-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-9-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-17-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-181b-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-218-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-361-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-335-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-20a-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-125a-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-130a-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-382-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-106b-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-185-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-21-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-198,esophageal cancer,Esophageal Neoplasms
hsa-miR-30b-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-98-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-181a-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-144-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-134-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-138-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-33a-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-340-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-26a-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-142-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-93-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-526b-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-367-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-152-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-449a,esophageal cancer,Esophageal Neoplasms
hsa-miR-326,esophageal cancer,Esophageal Neoplasms
hsa-miR-149-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-103a-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-200c-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-32-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-146a-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-431-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-485-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-324-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-485-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-384,esophageal cancer,Esophageal Neoplasms
hsa-miR-135a-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-489-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-145-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-432-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-494-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-31-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-488-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-27a-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-23b-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-452-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-376c-3p,esophageal cancer,Esophageal Neoplasms
hsa-miR-10a-5p,esophageal cancer,Esophageal Neoplasms
hsa-miR-133b,prostate cancer,Prostatic Neoplasms
hsa-miR-223-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-218-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-152-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-31-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-10a-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-142-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-186-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-199a-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-143-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-199b-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-204-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-125a-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-205-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-100-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-27a-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-22-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-10b-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-29b-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-16-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-26a-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-29a-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-338-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-195-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-30a-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-23b-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-29c-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-331-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-34a-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-99a-5p,prostate cancer,Prostatic Neoplasms
hsa-miR-198,prostate cancer,Prostatic Neoplasms
hsa-miR-214-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-369-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-125b-5p,prostate cancer,Prostatic Neoplasms
