MeSH,MeSHID
Ovarian Neoplasms,C04.588.322.455
Ovarian Neoplasms,C13.351.500.056.630.705
Ovarian Neoplasms,C13.351.937.418.685
Ovarian Neoplasms,C19.344.410
Ovarian Neoplasms,C19.391.630.705
Gastrointestinal Stromal Tumors,C04.557.450.565.370
Gastrointestinal Stromal Tumors,C06.301.371.308
Gastrointestinal Stromal Tumors,C06.405.249.308
Nasopharyngeal Neoplasms,C04.588.443.665.710.650
Nasopharyngeal Neoplasms,C07.550.350.650
Nasopharyngeal Neoplasms,C07.550.745.650
Nasopharyngeal Neoplasms,C09.647.710.650
Nasopharyngeal Neoplasms,C09.775.350.650
Nasopharyngeal Neoplasms,C09.775.549.650
Endometrial Neoplasms,C04.588.945.418.948.585
Endometrial Neoplasms,C13.351.500.852.762.200
Endometrial Neoplasms,C13.351.937.418.875.200
Uterine Cervical Neoplasms,C04.588.945.418.948.850
Uterine Cervical Neoplasms,C13.351.500.852.593.131
Uterine Cervical Neoplasms,C13.351.500.852.762.850
Uterine Cervical Neoplasms,C13.351.937.418.875.850
Squamous Cell Carcinoma of Head and Neck,C04.557.470.200.400.565
Squamous Cell Carcinoma of Head and Neck,C04.588.443.177
Liver Neoplasms,C04.588.274.623
Liver Neoplasms,C06.301.623
Liver Neoplasms,C06.552.697
Intestinal Neoplasms,C04.588.274.476.411
Intestinal Neoplasms,C06.301.371.411
Intestinal Neoplasms,C06.405.249.411
Intestinal Neoplasms,C06.405.469.491
"Carcinoma, Neuroendocrine",C04.557.465.625.650.240
"Carcinoma, Neuroendocrine",C04.557.470.200.025.370
"Carcinoma, Neuroendocrine",C04.557.580.625.650.240
Urinary Bladder Neoplasms,C04.588.945.947.960
Urinary Bladder Neoplasms,C12.758.820.968
Urinary Bladder Neoplasms,C12.777.829.813
Urinary Bladder Neoplasms,C13.351.937.820.945
Urinary Bladder Neoplasms,C13.351.968.829.707
Mesothelioma,C04.557.470.035.510
Mesothelioma,C04.557.470.660.510
Thyroid Neoplasms,C04.588.322.894
Thyroid Neoplasms,C04.588.443.915
Thyroid Neoplasms,C19.344.894
Thyroid Neoplasms,C19.874.788
Biliary Tract Neoplasms,C04.588.274.120
Biliary Tract Neoplasms,C06.130.320
Biliary Tract Neoplasms,C06.301.120
Chordoma,C04.557.465.220
Skin Neoplasms,C04.588.805
Skin Neoplasms,C17.800.882
Tonsillar Neoplasms,C04.588.443.665.710.684.800
Tonsillar Neoplasms,C07.550.745.671.800
Tonsillar Neoplasms,C09.647.710.685.800
Tonsillar Neoplasms,C09.775.549.685.800
Testicular Neoplasms,C04.588.322.762
Testicular Neoplasms,C04.588.945.440.915
Testicular Neoplasms,C12.294.260.937
Testicular Neoplasms,C12.758.409.937
Testicular Neoplasms,C19.344.762
Testicular Neoplasms,C19.391.829.782
Squamous Cell Carcinoma of Head and Neck,C04.557.470.200.400.565
Squamous Cell Carcinoma of Head and Neck,C04.588.443.177
Laryngeal Neoplasms,C04.588.443.665.481
Laryngeal Neoplasms,C08.360.369
Laryngeal Neoplasms,C08.785.481
Laryngeal Neoplasms,C09.400.369
Laryngeal Neoplasms,C09.647.481
Gallbladder Neoplasms,C04.588.274.120.401
Gallbladder Neoplasms,C06.130.320.401
Gallbladder Neoplasms,C06.130.564.401
Gallbladder Neoplasms,C06.301.120.401
Hemangioma,C04.557.645.375
