MeSH,MeSHID
Neuroblastoma,C04.557.465.625.600.590.650.550
Neuroblastoma,C04.557.470.670.590.650.550
Neuroblastoma,C04.557.580.625.600.590.650.550
Temporomandibular Joint Disorders,C05.500.607.221.897
Temporomandibular Joint Disorders,C05.550.905
Temporomandibular Joint Disorders,C05.651.243.897
Temporomandibular Joint Disorders,C07.320.610.291.897
Temporomandibular Joint Disorders,C07.678
"Colitis, Ulcerative",C06.405.205.265.231
"Colitis, Ulcerative",C06.405.205.731.249
"Colitis, Ulcerative",C06.405.469.158.188.231
"Colitis, Ulcerative",C06.405.469.432.249
Coronary Disease,C14.280.647.250
Coronary Disease,C14.907.585.250
Keloid,C17.300.200.425
Keloid,C23.550.355.274.510
Demyelinating Diseases,C10.314
Periodontitis,C07.465.714.533
Diabetic Cardiomyopathies,C14.280.238.235
Diabetic Cardiomyopathies,C19.246.099.625
Acute Kidney Injury,C12.777.419.780.050
Acute Kidney Injury,C13.351.968.419.780.050
Obesity,C18.654.726.500
Obesity,C23.888.144.699.500
Pancreatitis,C06.689.750
"Tuberculosis, Pulmonary",C01.252.410.040.552.846.899
"Tuberculosis, Pulmonary",C08.381.922
"Tuberculosis, Pulmonary",C08.730.939
"Pulmonary Disease, Chronic Obstructive",C08.381.495.389
"Hypertension, Pulmonary",C08.381.423
Adrenocortical Carcinoma,C04.557.470.200.025.152
Adrenocortical Carcinoma,C04.588.322.078.265.750
Adrenocortical Carcinoma,C19.053.098.265.750
Adrenocortical Carcinoma,C19.053.347.500.750
Adrenocortical Carcinoma,C19.344.078.265.750
Bronchopulmonary Dysplasia,C08.381.520.750.500
Bronchopulmonary Dysplasia,C16.614.521.125
"Diabetes Mellitus, Type 1",C18.452.394.750.124
"Diabetes Mellitus, Type 1",C19.246.267
"Diabetes Mellitus, Type 1",C20.111.327
Leiomyoma,C04.557.450.590.450
Acute Lung Injury,C08.381.520.500
Psoriasis,C17.800.859.675
Diabetic Nephropathies,C12.777.419.192
Diabetic Nephropathies,C13.351.968.419.192
Diabetic Nephropathies,C19.246.099.875
Myocardial Infarction,C14.280.647.500
Myocardial Infarction,C14.907.585.500
Myocardial Infarction,C23.550.513.355.750
Myocardial Infarction,C23.550.717.489.750
Heart Failure,C14.280.434
"Myocytes, Smooth Muscle",A11.620.520
Reperfusion Injury,C14.907.725
Reperfusion Injury,C23.550.767.877
Rectal Neoplasms,C04.588.274.476.411.307.790
Rectal Neoplasms,C06.301.371.411.307.790
Rectal Neoplasms,C06.405.249.411.307.790
Rectal Neoplasms,C06.405.469.491.307.790
Rectal Neoplasms,C06.405.469.860.180.500
Polycystic Ovary Syndrome,C04.182.612.765
Polycystic Ovary Syndrome,C13.351.500.056.630.580.765
Polycystic Ovary Syndrome,C19.391.630.580.765
Nasopharyngeal Neoplasms,C04.588.443.665.710.650
Nasopharyngeal Neoplasms,C07.550.350.650
Nasopharyngeal Neoplasms,C07.550.745.650
Nasopharyngeal Neoplasms,C09.647.710.650
Nasopharyngeal Neoplasms,C09.775.350.650
Nasopharyngeal Neoplasms,C09.775.549.650
Asthma,C08.127.108
Asthma,C08.381.495.108
Asthma,C08.674.095
Asthma,C20.543.480.680.095
Pituitary Neoplasms,C04.588.322.609
Pituitary Neoplasms,C04.588.614.250.195.885.500.600
Pituitary Neoplasms,C10.228.140.211.885.500.600
Pituitary Neoplasms,C10.228.140.617.477.600
Pituitary Neoplasms,C10.228.140.617.738.675
Pituitary Neoplasms,C10.551.240.250.700.500.500
Pituitary Neoplasms,C19.344.609
Pituitary Neoplasms,C19.700.734
Aortic Valve,A07.541.510.110
"Carcinoma, Basal Cell",C04.557.470.200.165
"Carcinoma, Basal Cell",C04.557.470.565.165
"Osteoporosis, Postmenopausal",C05.116.198.579.610
"Osteoporosis, Postmenopausal",C18.452.104.579.610
